first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
Juan Manuel,Bellido,"Pasadizo Fortunata Acosta 77 Puerta 4 
Madrid, 02509",Cádiz,Toledo,30004,1926-02-13,+34821 238 693,estrellafigueras@example.org,pmarquez,I7EowKIV_W,186.15.217.236,d1dc:6370:74cc:7832:d882:3614:a4c9:b85c,b8:fd:a6:4a:64:cc,grupo.com,error_value,
Clementina,,"Acceso de Domitila Mayo 6
La Coruña, 14696",,Salamanca,47871,32-13-2022,+34828877161,,ypinol,dp&QvjPD%1,199.50.165.21,1b9a:ef76:8411:5a3:d86a:36e9:fca9:f510,38:cc:ca:e1:97:d5,lino.com,http://requena.net/,Almendra blanqueado
Melania,Zurita,"Pasadizo de María Manuela Canals 9 Puerta 5 
Ourense, 51166",León,,50796,32-13-2022,+34946 610 257,maite04@example.com,olallacodina,Fk6OrG2m^x,208.66.137.50,c4ae:3dab:4aad:803d:a70c:2d06:249f:5549,f2:7c:f2:4c:71:b4,desarrollo.com,http://hermanos.es/,Rojo oscuro
Clímaco,Guardiola,"Rambla de Eligia Escamilla 4 Piso 1 
Ávila, 48350",Cantabria,,50254,1981-09-15,+34 884 033 720,,ubou,SE(63KRbs%,17.2.121.104,cd02:8d3d:eb21:bf2b:50d1:cec5:2986:6319,f6:70:d7:08:da:be,grupo.net,https://www.lago.com/,Azul medio
Santos,,"Urbanización Florentina Sanz 97
Murcia, 17012",Teruel,Cáceres,46258,2024-04-04,+34923 77 73 47,fermin65@example.net,marisela75,l(o+3iXsT^,135.161.52.70,d285:918b:e653:574b:e808:57cd:6f28:6814,d4:dd:2e:95:ea:e4,restauracion.org,http://www.infraestructuras.com/,Violeta oscuro
Ulises,Alberto,"Rambla Severiano Pino 64 Piso 6 
Huelva, 06206",Castellón,Almería,20002,1916-09-17,+34 845 55 54 69,halegria@example.com,sborras,Z6FooXd(&r,102.250.74.232,722d:3d1a:15e1:a231:3d7b:9f9a:d253:1db0,3a:fc:a4:0d:d6:ac,hermanos.es,https://www.hotel.es/,
,Aguilar,"C. de Aurelia Guzmán 1
Palencia, 06119",Córdoba,,12868,32-13-2022,+34843 002 665,andres-felipegarriga@example.org,mjauregui,,46.65.87.37,42dd:74a5:1394:242e:6591:dbe7:533a:d055,a6:9f:f9:55:2e:62,infraestructuras.com,http://royo.org/,Blanco navajo
Aitana,Echevarría,"Cañada de Trinidad Peláez 83 Puerta 7 
Córdoba, 41673",Alicante,Baleares,01728,1993-07-16,+34842497116,lorenaalberdi@example.com,jose-maricatalan,,27.169.204.51,error_value,34:a6:1b:c2:cf:cb,error_value,https://www.comercial.es/,Oro
María,,"C. Herminio Calzada 3 Puerta 2 
Alicante, 03501",Almería,Huesca,46801,1980-08-10,+34 883 02 63 25,,ferrandizsoraya,,129.94.145.150,9f2:96a2:657a:2c33:1d98:e9bf:bbdb:6f3f,e6:10:f3:b3:6e:ca,calvet.net,https://www.comercial.net/,Marrón perú
Carmela,Tejedor,"C. de Vanesa Cañas 79 Puerta 5 
León, 06722",Navarra,Vizcaya,INVALID,1926-02-09,+34806 840 918,jmarquez@example.net,leonciollanos,+)GVncD38r,181.144.50.35,323:3784:2c82:cc30:f54e:4bd:77d5:fad6,fc:04:c3:3c:9b:9b,laura.org,http://alejo.com/,Amarillo claro
Manola,Montalbán,"Cuesta de Cloe Nicolás 67
Ávila, 13993",Madrid,Cáceres,22502,1965-07-19,+34955 85 17 60,oriba@example.org,joaquinasensio,h3QPh*X))@,error_value,605a:ab7e:29dc:5160:7eff:fab3:18be:8ee,40:d4:70:e7:83:bb,nicolau.com,https://promociones.org/,Blanco lino
