name,first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,random_int,random_digit,pyfloat,color_name
,Guadalupe,Mercader,"Pasadizo Gilberto Flores 46 Puerta 2 
Salamanca, 16793",,,26400,1918-11-30,+34 877 08 24 64,felicidadolive@example.org,zgranados,,122.155.104.67,error_value,b6:fc:56:54:dd:37,joaquin.es,http://gelabert.es/,59,3,10000000000.0,Rojo indio
Susanita Rovira Ros,Imelda,Artigas,"Pasaje de Máxima Farré 40 Piso 3 
León, 15612",Castellón,,42481,1933-09-25,+34902206332,jose-mari15@example.org,bernardita40,G(W3SIg2#),108.205.101.157,721e:da72:fce:499b:ab2f:4c33:b0a4:68ac,76:0e:d7:73:25:e3,carina.es,http://www.hnos.net/,72,INVALID,30.57,Blanco nieve
,Jose Antonio,Bonilla,"Camino Agustina Arregui 59
Soria, 41988",Cantabria,Lleida,INVALID,1924-02-09,INVALID,patriciaolmedo@example.net,falmazan,(&3$TEmlkL,163.66.76.25,c623:541:9764:b297:e917:ad8a:bb6a:2cde,88:ec:6c:1b:57:a8,mineria.es,http://desarrollo.com/,17,INVALID,59.56,Rosa caliente
Nicolasa Atienza Corral,Ágata,Iborra,"Calle Victoria Peiró 69 Puerta 7 
Soria, 17177",Cuenca,Huelva,29555,1983-10-18,+34979423282,juliangeronimo@example.org,,j20YIfBz)U,20.162.188.127,error_value,error_value,soluciones.com,https://compania.es/,14,INVALID,27.33,
Ariel de Saldaña,Jesusa,Ruano,"Camino de Margarita Marqués 44 Piso 6 
Segovia, 10776",Málaga,Huesca,INVALID,2017-01-08,INVALID,beltrancarlota@example.net,caboconcepcion,,48.98.222.183,38ac:18b1:510f:bd4b:3d04:6b7a:40af:26,de:59:13:3f:f2:e9,error_value,http://www.transportes.com/,16,1,43.57,Rosa claro
Alberto Pablo-Montenegro,Flor,,"Rambla Carmelita Garriga 88
Granada, 32319",Guadalajara,Lugo,INVALID,2024-11-03,+34 981 23 86 52,qcastejon@example.com,,@N^3Kdv)nU,134.185.202.188,error_value,14:40:e3:f2:23:41,banca.com,error_value,51,6,51.9,Amarillo
Jose Luis Verdú Linares,,Carreras,"Pasadizo Loreto Guerrero 7
La Coruña, 05575",Barcelona,Barcelona,31670,1963-10-25,+34 985 216 646,,rosendo36,X%P73FVvE9,153.72.68.11,e298:9b0d:733a:2726:5535:932b:7a91:b2a2,00:ae:9f:f7:74:26,error_value,https://despacho.com/,INVALID,2,4.51,Púrpura
Elisa del Pedraza,Chita,Tejera,"Urbanización de Sosimo Barriga 138 Apt. 43 
Salamanca, 27622",Navarra,,03746,1993-09-30,INVALID,scordero@example.net,rpalau,$6tthUtBaH,error_value,27a5:4eff:a0e6:91a0:1d22:97a0:ff2b:44fe,error_value,hermanos.com,https://www.comercial.es/,88,4,86.82,Melón dulce
Pacífica Beltrán Palomar,Piedad,Verdejo,"Ronda de Emelina Diéguez 7 Puerta 7 
Málaga, 44116",Sevilla,Albacete,INVALID,1973-05-15,+34 986 277 263,carlitojulia@example.org,doroteasanz,)2iFG4f18P,163.170.192.247,38d3:f032:7f98:7ebe:cfe3:6b2e:cb28:ae2a,5e:c1:c6:c0:4a:23,error_value,https://www.servicios.es/,66,3,80.37,
Julie Folch Valentín,,Seco,"Vial Gertrudis Novoa 66
Las Palmas, 10581",,Huesca,12892,1936-09-24,+34973 049 154,,cabanasjosep,*^yBgsjWV7,69.138.210.209,e4d3:e917:5033:ea1f:b05f:a410:5246:85cd,72:a7:26:0d:c3:65,instalaciones.com,http://www.familia.com/,22,6,10000000000.0,
