$290.31,03/05/20,287725,Marcela Romero,+57 3153857541,SusanaGiraldo@outlook.com,Radio
Tv,14/09/00,+57 3169399039,357848,$799.79,Juan Ballesteros,CarlosMachado@hotmail.com
Tablet,877945,JuanManotas@outlook.com,Marcela Franco,$397.16,26/11/00,+57 3079984334
02/12/14,$164.46,921310,GloriaBallesteros@hotmail.com,+57 3118856453,Modem,Luis Arenas
$625.38,Carlos Castro,877789,02/03/01,CarlosManotas@hotmail.com,+57 3062043245,Modem
LuisGiraldo@hotmail.com,851273,+57 3216423129,$636.32,Carlos Ballesteros,08/09/23,Celular
22/11/06,Luis Arenas,165910,PedroRomero@hotmail.com,+57 3126627353,$536.59,Celular
$305.51,MarcelaGiraldo@hotmail.com,Tablet,699197,Susana Manotas,+57 3045595428,05/01/12
21/12/21,$668.89,Susana Giraldo,SusanaCastro@hotmail.com,Tv,+57 3099718285,597818
JuanRojas@hotmail.com,125495,26/01/17,+57 3016241763,Tablet,$900.53,Pablo Romero
$297.16,05/11/05,+57 3052664797,884361,PedroGiraldo@outlook.com,Tv,Juan Machado
Radio,$250.94,Pablo Manotas,597609,+57 3111303921,06/11/05,LuisFranco@hotmail.com
12/11/15,+57 3068942127,$865.85,Tablet,428098,SusanaMachado@outlook.com,Juan Rojas
16/10/04,807453,+57 3214365964,Radio,Marcela Machado,$390.58,SusanaMachado@outlook.com
Gloria Rojas,+57 3146423686,109978,Radio,$290.95,21/05/11,PatriciaRojas@hotmail.com
Tv,Ana Franco,+57 3032046697,09/02/03,730146,$680.49,MarcelaCastro@gmail.com
Tv,Gloria Ballesteros,14/03/22,$860.7,972361,+57 3116201243,AnaMachado@gmail.com
CarlosCastro@hotmail.com,367275,$216.6,01/11/01,Marcela Giraldo,Radio,+57 3211281158
211803,Pablo Machado,CarlosManotas@gmail.com,Celular,09/05/02,$846.82,+57 3005185635
854742,02/03/18,+57 3089233016,PabloManotas@gmail.com,Pedro Romero,Modem,$901.16
Radio,547896,Carlos Ballesteros,24/12/01,$909.47,PabloRomero@outlook.com,+57 3048433108
$656.07,03/02/18,Modem,512156,Gloria Giraldo,PedroFranco@gmail.com,+57 3086780278
Radio,+57 3194847471,$586.55,Pablo Giraldo,27/02/11,747424,PabloManotas@gmail.com
17/01/12,$732.77,+57 3022750145,404886,AnaCastro@outlook.com,Patricia Romero,Modem
PatriciaRojas@hotmail.com,23/09/05,557906,+57 3116722282,$977.17,Ana Arenas,Tv
+57 3021317900,Tv,SusanaFranco@hotmail.com,Carlos Machado,09/07/16,389582,$675.8
$238.07,08/04/21,608465,+57 3164517772,PabloCastro@gmail.com,Gloria Machado,Modem
397506,+57 3005225224,Radio,$296.39,AnaRomero@outlook.com,Gloria Manotas,26/07/07
Pablo Giraldo,$842.64,23/06/21,Tv,MarcelaCastro@outlook.com,+57 3225064482,716152
13/12/11,367353,+57 3127908612,$734.06,CarlosBallesteros@gmail.com,Tv,Ana Rojas
539000,13/09/22,Modem,MarcelaCastro@outlook.com,+57 3041764223,$798.52,Marcela Giraldo
24/10/11,Susana Arenas,AnaBallesteros@gmail.com,Radio,+57 3023053671,948611,$547.73
$222.32,Marcela Arenas,456531,+57 3226388856,JuanRomero@outlook.com,23/10/23,Modem
288673,Tablet,$127.19,03/10/12,+57 3136333143,AnaManotas@gmail.com,Gloria Machado
345570,Celular,Luis Romero,13/04/20,$979.08,JuanBallesteros@hotmail.com,+57 3167870878
287193,+57 3158450671,10/11/02,$535.58,MarcelaBallesteros@gmail.com,Celular,Patricia Castro
+57 3013419481,Tablet,$506.33,09/08/23,Patricia Ballesteros,GloriaFranco@outlook.com,754409
PabloMachado@outlook.com,Celular,$132.88,960462,08/08/05,+57 3194607693,Susana Castro
+57 3142290988,Tablet,$645.23,316503,PabloCastro@outlook.com,Gloria Ballesteros,06/05/17
692099,$239.9,JuanFranco@hotmail.com,Luis Romero,10/12/03,Celular,+57 3068504934
+57 3011852866,MarcelaFranco@gmail.com,Radio,Gloria Romero,166346,26/11/11,$918.11
+57 3105162006,Tablet,24/12/00,$555.15,Gloria Rojas,GloriaBallesteros@hotmail.com,121103
Ana Machado,22/09/19,548702,$522.69,CarlosArenas@hotmail.com,+57 3167561800,Tv
05/04/00,+57 3162248430,$132.58,Radio,Carlos Rojas,AnaFranco@outlook.com,885487
CarlosArenas@outlook.com,Tablet,+57 3056764620,$453.77,765787,Gloria Giraldo,27/02/19
+57 3027827495,772408,17/05/02,Patricia Rojas,Radio,JuanFranco@gmail.com,$762.8
Juan Castro,Tablet,JuanRojas@outlook.com,$543.31,+57 3154875487,19/11/08,646671
$654.81,Celular,211489,14/02/01,+57 3047583743,PabloArenas@gmail.com,Juan Manotas
724801,$914.46,LuisGiraldo@hotmail.com,14/01/11,Gloria Franco,Tablet,+57 3129422318
Susana Romero,Celular,584619,+57 3177902634,LuisGiraldo@gmail.com,24/06/18,$379.99
